STATE/UT,DISTRICT,total_crime,actual_cluster,predicted_risk_level
A & N ISLANDS,CAR,21,3,0
ANDHRA PRADESH,ADILABAD,46770,2,2
ANDHRA PRADESH,CHITTOOR,63248,2,2
ANDHRA PRADESH,GUNTUR,82819,2,2
ANDHRA PRADESH,KURNOOL,56597,2,2
ANDHRA PRADESH,NELLORE,66272,2,2
ANDHRA PRADESH,SRIKAKULAM,30665,0,1
ANDHRA PRADESH,VISAKHAPATNAM,51726,2,2
ARUNACHAL PRADESH,KAMENG WEST,1224,3,0
ARUNACHAL PRADESH,LOHIT,2162,3,0
ARUNACHAL PRADESH,PAPUM PARE,6060,3,0
ARUNACHAL PRADESH,SIANG EAST,3094,3,0
ARUNACHAL PRADESH,SIANG WEST,2892,3,0
ARUNACHAL PRADESH,TIRAP,1404,3,0
ASSAM,C.I.D.,174,3,0
ASSAM,G.R.P.,3943,3,0
ASSAM,KARBI ANGLONG,7915,3,0
BIHAR,BUXAR,19493,0,1
BIHAR,MADHEPURA,11491,3,0
BIHAR,MUZAFFARPUR,54734,2,2
BIHAR,MUZAFFARPUR RLY.,9282,3,0
BIHAR,NALANDA,35473,0,1
BIHAR,SHEOHAR,4656,3,0
BIHAR,SIWAN,24012,0,1
CHHATTISGARH,KONDAGAON,328,3,0
CHHATTISGARH,RAJNANDGAON,15274,3,0
D & N HAVELI,D and N HAVELI,3762,3,0
DELHI UT,CENTRAL,41723,2,2
DELHI UT,EOW,693,3,0
DELHI UT,S.T.F.,121,3,0
DELHI UT,STF,112,3,0
GUJARAT,JAMNAGAR,24537,0,1
GUJARAT,NARMADA,3966,3,0
GUJARAT,SURAT COMMR.,75540,2,2
GUJARAT,VADODARA RURAL,19771,0,1
HARYANA,KAITHAL,14419,3,0
HIMACHAL PRADESH,BILASPUR,5453,3,0
HIMACHAL PRADESH,HAMIRPUR,6267,3,0
HIMACHAL PRADESH,KULLU,5000,3,0
HIMACHAL PRADESH,MANDI,9598,3,0
HIMACHAL PRADESH,SOLAN,9640,3,0
JAMMU & KASHMIR,ANANTNAG,11762,3,0
JAMMU & KASHMIR,POONCH,5781,3,0
JAMMU & KASHMIR,RAILWAYS JAMMU,22,3,0
JAMMU & KASHMIR,RAILWAYS KASHMIR,45,3,0
JAMMU & KASHMIR,RAMBAN,2996,3,0
JAMMU & KASHMIR,SAMBA,1116,3,0
JHARKHAND,GARHWA,11032,3,0
JHARKHAND,GODDA,11237,3,0
JHARKHAND,PALAMU,17197,0,1
KARNATAKA,BIJAPUR,22047,0,1
KARNATAKA,CHAMARAJNAGAR,12740,3,0
KARNATAKA,DAVANAGERE,22518,0,1
KARNATAKA,K.G.F.,8726,3,0
KERALA,ERNAKULAM RURAL,29212,0,1
KERALA,KOZHIKODE,9821,3,0
KERALA,RAILWAYS,5199,3,0
MADHYA PRADESH,BETUL,21608,0,1
MADHYA PRADESH,GWALIOR,81068,2,2
MADHYA PRADESH,JHABUA,17115,0,1
MADHYA PRADESH,RAISEN,24856,0,1
MADHYA PRADESH,RAJGARH,26037,0,1
MADHYA PRADESH,SHEOPUR,9460,3,0
MADHYA PRADESH,VIDISHA,29972,0,1
MAHARASHTRA,AMRAVATI RURAL,46773,2,2
MAHARASHTRA,BEED,47884,2,2
MAHARASHTRA,MUMBAI COMMR.,263187,1,3
MAHARASHTRA,NASIK RURAL,49273,2,2
MAHARASHTRA,OSMANABAD,30178,0,1
MAHARASHTRA,PUNE RLY.,7653,3,0
MAHARASHTRA,RATNAGIRI,15619,3,0
MAHARASHTRA,SOLAPUR RURAL,41432,2,2
MAHARASHTRA,YAVATMAL,52705,2,2
MANIPUR,IMPHAL(EAST),1568,3,0
MEGHALAYA,GARO HILLS SOUTH,840,3,0
MEGHALAYA,GARO HILLS WEST,4470,3,0
MEGHALAYA,KHASI HILLS EAST,11395,3,0
MIZORAM,KOLASIB,2646,3,0
MIZORAM,LAWNGTLAI,1441,3,0
MIZORAM,MAMIT,1081,3,0
NAGALAND,DIMAPUR,6597,3,0
NAGALAND,KIPHIRE,146,3,0
ODISHA,DCP BBSR,21509,0,1
ODISHA,KEONJHAR,21298,0,1
ODISHA,NOWRANGPUR,7246,3,0
ODISHA,RAYAGADA,7457,3,0
PUNJAB,BHATINDA,16795,0,1
PUNJAB,FATEHGARH SAHIB,8309,3,0
PUNJAB,G.R.P,1655,3,0
PUNJAB,GURDASPUR,8472,3,0
PUNJAB,JAGRAON,4548,3,0
PUNJAB,LUDHIANA,27509,0,1
PUNJAB,MAJITHA,3602,3,0
PUNJAB,MOGA,11541,3,0
PUNJAB,PATIALA,27485,0,1
RAJASTHAN,AJMER,50538,2,2
RAJASTHAN,CHURU,25116,0,1
RAJASTHAN,G.R.P.,9885,3,0
RAJASTHAN,JAIPUR SOUTH,34666,0,1
RAJASTHAN,JAISALMER,7685,3,0
RAJASTHAN,JHUNJHUNU,27983,0,1
RAJASTHAN,JODHPUR CITY,21385,0,1
RAJASTHAN,KOTA RURAL,9996,3,0
RAJASTHAN,RAJSAMAND,24860,0,1
RAJASTHAN,SIROHI,18786,0,1
SIKKIM,NORTH,323,3,0
TAMIL NADU,CHENNAISUBURBAN,11329,3,0
TAMIL NADU,MADURAI RURAL,35214,0,1
TAMIL NADU,MADURAI URBAN,23357,0,1
TAMIL NADU,NAMAKKAL,25087,0,1
TAMIL NADU,VILUPPURAM,2545,3,0
TAMIL NADU,VIRUDHUNAGAR,27629,0,1
TRIPURA,WEST,19093,0,1
UTTAR PRADESH,AMBEDKAR NAGAR,10995,3,0
UTTAR PRADESH,BAGHPAT,13251,3,0
UTTAR PRADESH,BALLIA,11304,3,0
UTTAR PRADESH,BASTI,9614,3,0
UTTAR PRADESH,DEORIA,10210,3,0
UTTAR PRADESH,GORAKHPUR,35872,0,1
UTTAR PRADESH,J.P.NAGAR,12812,3,0
UTTAR PRADESH,JAUNPUR,17140,0,1
UTTAR PRADESH,KANSHIRAM NAGAR,4080,3,0
UTTAR PRADESH,MATHURA,33866,0,1
UTTAR PRADESH,SAHARANPUR,23408,0,1
UTTAR PRADESH,ST.RAVIDASNAGAR,4993,3,0
UTTARAKHAND,HARIDWAR,29646,0,1
UTTARAKHAND,PAURI GARHWAL,3934,3,0
UTTARAKHAND,TEHRI GARHWAL,2112,3,0
WEST BENGAL,24 PARGANAS SOUTH,84807,2,2
WEST BENGAL,BIRBHUM,24071,0,1
WEST BENGAL,HOWRAH G.R.P.,11484,3,0
WEST BENGAL,SILIGURI G.R.P.,2534,3,0
